City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Araouane,18.9,-3.53,87.1,13,0,8.01,ML,1603667539
1,Leningradskiy,69.38,178.42,24.51,90,68,5.41,RU,1603667539
2,Kruisfontein,-34.0,24.73,61.0,96,100,1.01,ZA,1603667539
3,Hobart,-42.88,147.33,57.0,54,75,11.41,AU,1603667540
4,Bluff,-46.6,168.33,53.01,63,71,5.99,NZ,1603667370
5,Carballo,43.21,-8.69,48.2,87,90,14.99,ES,1603667540
6,Kargil,34.57,76.1,26.04,85,38,3.4,IN,1603667540
7,‘Āhuimanu,21.44,-157.84,84.99,74,40,9.17,US,1603667540
8,Upernavik,72.79,-56.15,13.8,76,64,4.9,GL,1603667540
9,Ponta do Sol,32.67,-17.1,66.2,68,20,6.93,PT,1603667269
10,Mataura,-46.19,168.86,53.01,63,94,5.99,NZ,1603667541
11,Mossamedes,-15.2,12.15,68.58,78,46,2.39,AO,1603667541
12,Arlit,18.74,7.39,78.13,17,0,10.16,NE,1603667541
13,East London,-33.02,27.91,66.38,70,96,2.3,ZA,1603667541
14,Baykit,61.67,96.37,14.14,93,81,2.1,RU,1603667481
15,Half Moon Bay,37.46,-122.43,69.8,59,20,6.93,US,1603667248
16,Kavaratti,10.57,72.64,81.39,75,88,4.52,IN,1603667541
17,Boa Vista,2.82,-60.67,91.4,46,0,5.82,BR,1603667541
18,Lerwick,60.15,-1.15,50.0,81,81,19.46,GB,1603667542
19,Vestmannaeyjar,63.44,-20.27,44.19,74,0,1.92,IS,1603667276
20,Bandarbeyla,9.49,50.81,75.18,78,1,10.4,SO,1603667542
21,West Lorne,42.6,-81.6,43.0,56,93,3.0,CA,1603667542
22,Kaitangata,-46.28,169.85,53.01,70,99,1.99,NZ,1603667542
23,Hasaki,35.73,140.83,51.8,87,75,3.36,JP,1603667542
24,Ushuaia,-54.8,-68.3,53.6,46,20,6.93,AR,1603667543
25,Tiarei,-17.53,-149.33,84.2,70,40,4.7,PF,1603667543
26,Avilés,43.55,-5.92,54.0,71,40,8.05,ES,1603667543
27,Cherskiy,68.75,161.3,15.31,96,100,0.36,RU,1603667543
28,Port Elizabeth,-33.92,25.57,62.6,93,75,9.17,ZA,1603667543
29,Bud,39.45,-86.18,51.01,61,90,3.36,US,1603667546
30,Rikitea,-23.12,-134.97,74.71,80,100,23.55,PF,1603667267
31,Bambous Virieux,-20.34,57.76,73.0,88,75,18.34,MU,1603667546
32,Nikolskoye,59.7,30.79,43.0,93,90,6.71,RU,1603667501
33,Tasiilaq,65.61,-37.64,32.0,97,99,12.75,GL,1603667547
34,Naze,28.37,129.48,71.6,77,75,4.7,JP,1603667287
35,Butaritari,3.07,172.79,81.27,71,57,9.33,KI,1603667547
36,La Ronge,55.1,-105.28,26.6,49,75,6.93,CA,1603667547
37,Umeå,63.83,20.26,48.2,100,100,16.11,SE,1603667547
38,New Norfolk,-42.78,147.06,57.0,54,2,1.01,AU,1603667432
39,Nuuk,64.18,-51.72,24.8,73,100,10.29,GL,1603667548
40,Khingansk,49.12,131.18,30.33,98,7,3.78,RU,1603667548
41,Alofi,-19.06,-169.92,77.0,83,90,13.87,NU,1603667385
42,La Serena,-29.91,-71.25,57.2,82,20,17.22,CL,1603667548
43,Martapura,-3.42,114.85,75.2,94,20,8.05,ID,1603667548
44,Tabuk,17.42,121.44,75.58,91,100,5.1,PH,1603667548
45,Iguatemi,-23.68,-54.56,81.32,58,45,5.21,BR,1603667548
46,Vaini,-21.2,-175.2,75.2,88,75,12.75,TO,1603667505
47,Mount Gambier,-37.83,140.77,55.4,58,2,21.92,AU,1603667310
48,Kenai,60.55,-151.26,37.4,93,90,24.16,US,1603667298
49,Hilo,19.73,-155.09,87.8,48,20,13.87,US,1603667432
50,Murowana Goślina,52.57,17.01,48.99,96,22,3.0,PL,1603667549
51,Shakawe,-18.37,21.85,75.04,27,28,5.53,BW,1603667549
52,Kavieng,-2.57,150.8,82.96,75,100,8.93,PG,1603667549
53,Hong Kong,22.29,114.16,73.99,78,100,1.99,HK,1603667417
54,Hamilton,39.18,-84.53,53.6,66,90,5.82,US,1603667302
55,Mīnāb,27.15,57.08,68.0,45,0,6.93,IR,1603667550
56,Andros Town,24.7,-77.77,80.6,88,0,6.93,BS,1603667550
57,Nanortalik,60.14,-45.24,35.35,87,99,15.08,GL,1603667550
58,Port Alfred,-33.59,26.89,64.13,83,94,1.61,ZA,1603667550
59,Grindavik,63.84,-22.43,41.0,86,0,10.29,IS,1603667550
60,Sitka,57.05,-135.33,41.0,80,90,21.92,US,1603667550
61,Khatanga,71.97,102.5,6.28,95,94,9.51,RU,1603667551
62,Yellowknife,62.46,-114.35,30.2,68,75,3.36,CA,1603667551
63,Nan,18.83,100.67,65.28,85,95,0.96,TH,1603667551
64,Chinhoyi,-17.37,30.2,71.04,33,1,6.06,ZW,1603667551
65,Punta Arenas,-53.15,-70.92,46.4,75,75,3.36,CL,1603667383
66,Kapaa,22.08,-159.32,82.99,78,20,9.17,US,1603667552
67,Ormara,25.21,64.64,75.88,53,0,4.38,PK,1603667552
68,San Ignacio,17.16,-89.07,86.0,66,75,11.41,BZ,1603667552
69,Lebu,-37.62,-73.65,51.31,69,0,6.78,CL,1603667552
70,Olive Branch,34.96,-89.83,55.4,87,90,8.05,US,1603667552
71,Gazipur,24.0,90.42,82.4,69,39,3.36,BD,1603667487
72,Atuona,-9.8,-139.03,78.94,75,3,20.56,PF,1603667553
73,Castro,-24.79,-50.01,63.21,91,0,5.41,BR,1603667553
74,Albany,42.6,-73.97,44.01,57,0,4.45,US,1603667553
75,Olinda,-8.01,-34.86,80.6,74,20,4.7,BR,1603667553
76,Farafangana,-22.82,47.83,69.85,87,16,6.46,MG,1603667553
77,Gewanē,10.17,40.65,77.22,28,0,2.46,ET,1603667554
78,Maniitsoq,65.42,-52.9,27.73,80,100,8.39,GL,1603667554
79,Newport,51.59,-3.0,46.0,97,1,15.88,GB,1603667554
80,Dikson,73.51,80.55,19.15,98,100,12.57,RU,1603667271
81,Griffith,41.53,-87.42,46.99,61,90,3.36,US,1603667554
82,Barrow,71.29,-156.79,26.6,68,90,8.05,US,1603667433
83,Saint George,37.1,-113.58,57.0,37,73,25.28,US,1603667554
84,Dunedin,-45.87,170.5,46.0,90,100,5.01,NZ,1603667463
85,Tromsø,69.65,18.96,37.4,74,75,47.2,NO,1603667534
86,Pevek,69.7,170.31,25.65,98,100,7.72,RU,1603667555
87,Sorong,-0.88,131.25,80.47,80,62,5.75,ID,1603667278
88,Kazachinskoye,57.7,93.28,26.8,85,100,5.99,RU,1603667555
89,Laas,46.62,10.7,54.0,93,90,8.05,IT,1603667555
90,Kangaatsiaq,68.31,-53.46,20.8,87,79,7.67,GL,1603667556
